Name,Vmag,RA_deg,Dec_deg,SpType,Parallax_arcsec,Distance_ly,Constellation
          ,6.22,83.51625,-1.035556,  B2.5V             ,,,
          ,5.93,83.516667,-1.470556,  K5III             ,,,
121    Tau,5.38,83.862917,24.039444,  B2.5IV            ,,,Tau
 37Phi1Ori,4.41,83.705,9.489444,  B0III             ,0,,37Phi1Ori
          ,5.48,83.21375,-38.513056,  K2III             ,-0.008,,
          ,6.27,83.98125,27.662222,  K0                ,,,
 39Lam Ori,3.54,83.784583,9.934167,  O8III((f))        ,0.007,465.9371429,Ori
 39Lam Ori,5.61,83.785417,9.935,  B0.5V             ,0.007,465.9371429,Ori
          ,5.78,83.280833,-35.139722,  K0III             ,,,
          ,6.19,82.56625,-63.927778,  F0IV              ,,,
          ,5.6,83.805833,10.24,  B9IIIpHg:Mn:      ,,,
          ,6.09,84.218333,40.182222,  G3Ib+F            ,,,
          ,6.11,90.334167,85.182222,  M0III             ,,,
          ,5.67,83.75375,-6.009167,  B1V               ,0.005,652.312,
          ,4.78,83.76125,-6.001944,  B0.5V             ,0.005,652.312,
          ,6.53,83.467083,-29.848889,  A0V               ,,,
          ,6.49,84.125833,25.939444,  F5III             ,,,
          ,6.56,83.840833,-4.493333,  B1.5V             ,,,
          ,6.24,83.84375,-4.425278,  B2.5V             ,,,
 42    Ori,4.59,83.846667,-4.838333,  B1V               ,0.006,543.5933333,Ori
 41The1Ori,6.73,83.81625,-5.387222,  B0.5V             ,0.001,3261.56,41The1Ori
 41The1Ori,7.96,83.817083,-5.385278,  B0V               ,0.001,3261.56,41The1Ori
 41The1Ori,5.13,83.81875,-5.389722,  O6p               ,0.001,3261.56,41The1Ori
 41The1Ori,6.7,83.822083,-5.387778,  B0.5Vp            ,0.001,3261.56,41The1Ori
 43The2Ori,5.08,83.845417,-5.416111,  O9.5Vp            ,-0.001,,43The2Ori
          ,6.38,83.879583,-4.364722,  B2.5IV            ,,,
 44Iot Ori,2.77,83.858333,-5.91,  O9III             ,0.025,130.4624,Ori
          ,6.4,83.899167,-3.252778,  B3IV              ,,,
 45    Ori,5.26,83.914583,-4.855833,  F0III             ,0.026,125.4446154,Ori
          ,5.83,84.286667,26.924167,  B9IV-V            ,0.007,465.9371429,
 46Eps Ori,1.7,84.053333,-1.201944,  B0Ia              ,-0.002,,Ori
          ,6.33,84.440417,33.559167,  K0                ,,,
122    Tau,5.54,84.265833,17.040278,  F0V               ,0.029,112.4675862,Tau
          ,6.54,84.0625,-5.648056,  B3V               ,,,
 40Phi2Ori,4.09,84.22625,9.290556,  K0IIIbFe-2        ,0.03,108.7186667,40Phi2Ori
          ,5.94,84.268333,11.035,  K4III             ,,,
          ,5.78,83.814167,-33.08,  K2IIIa            ,,,
123Zet Tau,3,84.41125,21.1425,  B4IIIpe           ,0.008,407.695,Tau
          ,5.72,84.14875,-6.065,  B1V               ,,,
          ,6.43,83.435,-54.902222,  F8V               ,,,
          ,6.12,84.330417,8.951944,  B2IV-V            ,,,
 26    Aur,5.4,84.65875,30.4925,  F9III+B9.5V       ,0.005,652.312,Aur
          ,6.26,84.042917,-28.707778,  A2/3III/V:        ,,,
          ,5.6,85.61,65.697778, gK5                ,,,
          ,5.34,83.248333,-64.2275,  G8-K0III          ,0.01,326.156,
          ,6.05,84.364167,-5.938333,  B1V               ,,,
          ,6.11,84.286667,-11.775556,  A2V               ,,,
          ,5.88,84.504583,7.541389,  B8III             ,,,
          ,6.37,84.739167,26.617778,  G9III             ,,,
   Bet Dor,3.76,83.40625,-62.489722,  F6Ia              ,0.012,271.7966667,Dor
          ,6.19,84.4725,-4.813611,  B2IV-V            ,,,
          ,5.96,84.826667,29.215278,  B2IV-V            ,,,
          ,6.23,85.334583,53.481111,  K1V               ,0.081,40.26617284,
   Nu 1Col,6.16,84.31875,-27.871389,  F0IV              ,,,1Col
          ,6.11,84.01125,-47.313889,  K2III+F           ,,,
125    Tau,5.18,84.934167,25.896944,  B3IV              ,,,Tau
          ,6.34,84.8625,21.762778,  A1Vn              ,,,
          ,6.75,83.76,-58.871111,  K4III             ,,,
 48Sig Ori,3.81,84.686667,-2.6,  O9.5V             ,0.007,465.9371429,Ori
          ,6.65,84.69625,-2.594167,  B2Vp              ,0.007,465.9371429,
          ,5.96,84.6575,-6.573889,  B1.5IV            ,,,
 47Ome Ori,4.57,84.79625,4.121389,  B3IIIe            ,,,Ori
   Nu 2Col,5.31,84.435833,-28.689444,  F4V               ,0.047,69.39489362,2Col
          ,6.32,83.74,-61.175833,  G5IV              ,,,
 49    Ori,4.8,84.72125,-7.213056,  A4V               ,0.042,77.65619048,Ori
          ,6.04,85.149583,31.358056,  B9.5III-IVp:      ,,,
          ,6.11,85.175417,31.920833,  M2IIIS            ,,,
          ,6,84.88,-3.564722,  A8V s             ,,,
 24    Cam,6.05,85.756667,56.581667,  K0III             ,,,Cam
          ,6.5,84.878333,-9.706667,  B7V               ,,,
 23    Cam,6.15,86.035833,61.476667, gG5                ,,,Cam
          ,6.38,84.817917,-17.849444,  B7V               ,,,
          ,6.43,85.3375,29.4875,  B8IV              ,,,
126    Tau,4.86,85.32375,16.533889,  B3IV              ,0.014,232.9685714,Tau
          ,5.82,84.681667,-40.7075,  B8V               ,,,
 50Zet Ori,2.05,85.189583,-1.942778,  O9.7Ib            ,0.024,135.8983333,Ori
 50Zet Ori,4.21,85.19,-1.942778,  B0III             ,0.024,135.8983333,Ori
          ,6.22,85.155417,-2.825,  B1.5V             ,,,
          ,6.59,85.4775,23.326389,  B8p               ,,,
          ,4.95,85.210833,-1.128889,  B2IV-V            ,,,
   Gam Men,5.19,82.970417,-76.341111,  K2III             ,0.02,163.078,Men
          ,6.36,85.51625,22.660278,  K2                ,,,
          ,5.93,85.273333,0.337778,  F0IV              ,,,
   Alp Col,2.64,84.912083,-34.074167,  B7IVe             ,0.001,3261.56,Col
          ,6.52,85.191667,-10.409444,  B9.5IIIpSi4200    ,,,
          ,5.45,84.9575,-32.629167,  G6-8III           ,,,
          ,6.42,85.417917,-2.896111,  A9IV-V            ,,,
          ,6.31,84.227917,-66.560278,  B9.5V             ,,,
          ,6.21,85.83125,23.204167,  B2.5Ve            ,,,
          ,6.21,85.422917,-16.725556,  B3IVp             ,,,
 51    Ori,4.91,85.619167,1.474722,  K1III             ,0.015,217.4373333,Ori
          ,5.78,83.68625,-73.741389,  M3III             ,,,
          ,6.15,85.559583,-17.530278,  K0                ,,,
          ,6.34,85.3625,-33.400556,  A0V               ,,,
          ,6.02,85.724167,-6.796111,  F3V               ,0.019,171.6610526,
 12    Lep,5.87,85.557917,-22.373611,  A2                ,,,Lep
 26    Cam,5.94,86.626667,56.115556,  A4Vn              ,,,Cam
          ,6.31,85.78875,-1.613056,  K4III             ,,,
 27Omi Aur,5.47,86.475,49.826389,  A2VpCr            ,0.019,171.6610526,Aur
          ,6.19,85.548333,-30.535556,  A0V               ,,,
          ,5.29,85.562917,-34.667778,  B9.5V             ,,,
          ,6.58,86.45625,40.507222,  A3Del Del         ,,,
          ,5.73,85.84,-18.5575,  A0V s             ,,,
          ,6.13,87.270417,62.808056,  A4V               ,0.01,326.156,
          ,6.95,86.414167,20.695,  C5II              ,,,
          ,6.09,86.257917,4.008056, gF0n               ,,,
          ,6.29,86.81125,42.526667,  K0                ,,,
          ,6.34,86.118333,-20.126389,  G0                ,,,
          ,6.25,85.875833,-39.406944,  F3V               ,,,
          ,6.15,86.110417,-22.421667,  K2V               ,0.128,25.4809375,
 13Gam Lep,3.6,86.115833,-22.448333,  F6V               ,0.128,25.4809375,Lep
          ,6.39,85.92125,-45.833056,  A9V               ,,,
129    Tau,6,86.689583,15.8225,  B8IIIpHgMn:       ,,,Tau
          ,6.34,86.511667,-4.268333,  K1III+G0IV        ,,,
          ,5.79,86.717083,9.522222,  G8III             ,,,
          ,5.95,86.645833,1.168056,  G4V               ,0.027,120.7985185,
131    Tau,5.72,86.805,14.488333,  A3Vn              ,0.021,155.312381,Tau
130    Tau,5.49,86.859167,17.729167,  F0III             ,,,Tau
   Iot Men,6.05,83.90125,-78.820833,  B8III             ,,,Men
 29    Cam,6.54,87.641667,56.918889,  A4IV-V            ,,,Cam
133    Tau,5.29,86.92875,13.899722,  B2IV-V            ,-0.002,,Tau
          ,6.2,88.23125,68.471389,  G9III             ,0.004,815.39,
 29Tau Aur,4.52,87.29375,39.181111,  G8IIIFe-1         ,0.007,465.9371429,Aur
   Mu  Col,5.17,86.499583,-32.306389,  O9.5V             ,,,Col
          ,6.07,87.093333,20.869444,  B9Vn              ,0.001,3261.56,
 14Zet Lep,3.55,86.73875,-14.821944,  A3Vn              ,0.049,66.56244898,Lep
 52    Ori,5.27,87.000833,6.454167,  A5V               ,0.023,141.8069565,Ori
          ,6.17,86.781667,-16.237778,  G2Ib-II           ,,,
          ,6.03,86.86125,-10.533056,  A4V               ,,,
132    Tau,4.86,87.254167,24.5675,  G8III             ,0.005,652.312,Tau
          ,6.29,87.735,51.514722,  K1III             ,,,
 53Kap Ori,2.06,86.939167,-9.669722,  B0.5Ia            ,0.015,217.4373333,Ori
          ,6.22,86.769583,-28.639167,  B5V               ,,,
 30    Cam,6.14,88.0725,58.964167,  A0V s             ,,,Cam
          ,5.97,87.145417,-4.094722,  G4V               ,,,
          ,5.31,86.614167,-46.597222,  K0-1II            ,0.018,181.1977778,
          ,6.32,86.8275,-35.674722,  K1III             ,,,
134    Tau,4.91,87.387083,12.651111,  B9IV              ,,,Tau
 31Ups Aur,4.74,87.76,37.305556,  M0+III-IIIbFe-0.5 ,-0.002,,Aur
 32Nu  Aur,3.97,87.8725,39.148611,  G9.5III*          ,0.017,191.8564706,Aur
          ,5.56,87.742083,27.967778, gG7                ,,,
          ,5.8,87.510833,9.871111,  G8III             ,,,
   Del Dor,4.35,86.193333,-65.735556,  A7V               ,0.027,120.7985185,Dor
135    Tau,5.52,87.620417,14.305556, gG9                ,,,Tau
          ,6.61,86.992083,-40.6525,  K1III             ,,,
          ,6.25,87.857083,32.125,  M3III             ,,,
          ,5.97,87.554583,4.423333, gK2                ,,,
   Bet Pic,3.85,86.82125,-51.066389,  A5V               ,0.061,53.46819672,Pic
          ,5.49,87.402083,-14.483611, gG6                ,0.009,362.3955556,
   Pi  Men,5.65,84.290833,-80.469167,  G1V               ,0.044,74.12636364,Men
          ,6.18,86.804167,-54.360833,  K3III             ,,,
          ,5.98,87.625,2.024444,  G8III+A0IV        ,,,
          ,6.45,88.164583,39.574444,  A2V               ,,,
          ,5.87,87.472917,-22.971667,  A2                ,,,
 31    Cam,5.2,88.740833,59.888333,  A2V               ,0.009,362.3955556,Cam
          ,5.98,88.167083,33.9175,  M1.5II-III        ,,,
 30Xi  Aur,4.99,88.711667,55.706944,  A2V               ,0.012,271.7966667,Aur
          ,6.06,88.0975,19.868056,  G2IIIe+B8III      ,,,
 55    Ori,5.35,87.841667,-7.518056,  B2IV-V            ,,,Ori
          ,6.38,87.392083,-44.875278,  K1III             ,,,
137    Tau,5.59,88.092917,14.171667,  B9pSiCrEu         ,,,Tau
136    Tau,4.58,88.331667,27.612222,  A0V               ,0.021,155.312381,Tau
 15Del Lep,3.81,87.830417,-20.879167,  K0IIIFe-1.5CH0.5  ,0.022,148.2527273,Lep
          ,6.17,87.869167,-22.926111,  K0                ,,,
 56    Ori,4.78,88.11,1.855,  K1.5IIb           ,0.005,652.312,Ori
          ,6.71,88.329583,20.299167,  B9V               ,,,
          ,5.97,88.031667,-9.041389,  A2Vnp             ,,,
   Bet Col,3.12,87.74,-35.768333,  K2III             ,0.023,141.8069565,Col
          ,6.25,89.395833,66.096111,  K0                ,,,
   Gam Pic,4.51,87.457083,-56.166667,  K1III             ,0.018,181.1977778,Pic
          ,6.45,87.997917,-29.448611,  K3III             ,,,
          ,6.35,87.619167,-52.767778,  K0-1III+A4V+A     ,,,
          ,6.49,89.06,51.803889,  A5V               ,,,
          ,5.9,88.745833,31.701667,  A5IV              ,0.023,141.8069565,
 54Chi1Ori,4.41,88.595417,20.276111,  G0V               ,0.104,31.36115385,54Chi1Ori
          ,6.12,88.555833,10.586944,  G9II              ,,,
          ,5.17,87.721667,-52.108889,  G8III             ,0.023,141.8069565,
          ,6.59,88.634167,11.7625,  A2V               ,,,
          ,6.31,88.565417,3.225278,  K0                ,,,
 57    Ori,5.92,88.73625,19.749722,  B2V               ,,,Ori
          ,5.63,88.138333,-37.631111,  K1III             ,,,
          ,6.47,89.270417,49.029444,  G8III             ,,,
          ,6.7,88.19875,-38.525833,  K1III             ,0.003,1087.186667,
   Lam Col,4.87,88.27875,-33.801389,  B5V               ,0.035,93.18742857,Col
          ,6,88.68375,0.968333,  K0III             ,,,
          ,6.57,88.644583,-4.063889,  B1.5V             ,,,
          ,6.2,82.557917,-84.785,  B9.5IV-V          ,,,
          ,6.69,88.489167,-19.638333,  A4V               ,,,
 58Alp Ori,0.5,88.792917,7.406944,  M1-2Ia-Iab        ,0.005,652.312,Ori
   Lam Men,6.53,86.950417,-72.702222,  K0III             ,,,Men
          ,5.4,88.955417,20.175,  M6.5IIIe          ,,,
   Eps Dor,5.11,87.473333,-66.901111,  B6V               ,0.012,271.7966667,Dor
          ,5.66,88.681667,-11.773889,  K5III             ,,,
          ,6.32,89.140833,28.942222,  A2II              ,,,
          ,6.6,89.014583,13.925278,  G5IV              ,0.047,69.39489362,
          ,6.36,88.55875,-29.147778,  F3V               ,,,
          ,6.55,88.345417,-42.921389,  K3III             ,,,
          ,5.87,88.87625,-4.616389, gK2                ,,,
          ,6.28,88.8975,-4.788333,  A2III             ,,,
          ,5.94,88.084583,-57.156111,  F7IV              ,,,
          ,6.36,87.845833,-64.033611,  G8III             ,,,
          ,6.02,89.23375,24.249722,  A0Ia              ,,,
          ,5.99,89.116667,9.509722,  A0IV              ,,,
          ,5.87,89.20625,11.521111,  K2III             ,,,
 33Del Aur,3.72,89.881667,54.284722,  K0-III            ,0.022,148.2527273,Aur
          ,6.4,91.28875,75.585833,  K5                ,,,
          ,6.44,89.940417,55.320833,  A5m               ,,,
          ,6.14,89.950417,54.547222,  K2III             ,,,
          ,5.89,89.840833,49.924444,  G5III             ,,,
          ,5.57,88.71875,-39.958056,  M0III             ,,,
          ,6.52,88.544583,-50.361944,  G8IV              ,0.034,95.92823529,
139    Tau,4.82,89.49875,25.953889,  B0.5II            ,,,Tau
 16Eta Lep,3.71,89.10125,-14.167778,  F1III             ,0.066,49.41757576,Lep
          ,5.96,89.059583,-22.840278,  K0V               ,,,
   Xi  Col,4.97,88.874583,-37.120833,  K1III             ,-0.011,,Col
 34Bet Aur,1.9,89.882083,44.9475,  A2IV              ,0.041,79.5502439,Aur
          ,6.1,88.67125,-49.626944,  B3V               ,,,
          ,6.36,89.14375,-23.215556,  K0                ,,,
 35Pi  Aur,4.26,89.98375,45.936944,  M3II              ,0.003,1087.186667,Aur
   Sig Col,5.5,89.087083,-31.3825,  F2III             ,,,Col
          ,6.22,89.475833,1.224444,  M0III             ,,,
          ,5.29,88.709167,-52.635278,  F0VDel Del        ,0.034,95.92823529,
 37The Aur,2.62,89.930417,37.2125,  A0pSi             ,0.022,148.2527273,Aur
          ,6.22,90.079167,44.591944,  K2III+K0III       ,,,
          ,6.22,89.54875,-0.994167,  K0                ,,,
          ,6.44,89.204167,-31.976111,  G8III             ,,,
          ,5.7,89.721667,12.808611,  K2III+A5V         ,0.006,543.5933333,
 59    Ori,5.9,89.601667,1.836944,  A5mDel Del        ,,,Ori
 36    Aur,5.73,90.244167,47.901944,  B9.5pSiFe         ,,,Aur
          ,4.65,88.525417,-63.09,  K1III-IV          ,0.048,67.94916667,
 60    Ori,5.22,89.706667,0.553056,  A1V s             ,0.004,815.39,Ori
          ,6.63,88.549583,-64.482222,  F0III             ,,,
          ,5.96,90.429583,48.959444,  K0                ,,,
   Gam Col,4.36,89.384167,-35.283333,  B2.5IV            ,,,Col
  1    Mon,6.12,89.754167,-9.382222,  F2IV              ,,,Mon
  2    Mon,5.03,89.767917,-9.558333,  A6IIIm vs         ,0.01,326.156,Mon
          ,6.63,89.907083,-1.444444,  B8IIIn            ,,,
          ,5.98,90.2925,31.034722,  A2V               ,,,
          ,6.05,90.251667,27.572222,  B9Iab             ,,,
          ,6.05,90.702917,49.905556,  B9.5IV            ,,,
          ,4.53,90.014167,-3.074167,  K1.5IIIFe-1.5     ,0.022,148.2527273,
          ,6.45,89.31,-53.426111,  K5-M0III          ,,,
          ,6.42,90.723333,43.378611,  K0                ,,,
          ,6.37,90.423333,22.400833,  B8V               ,,,
          ,5.81,89.656667,-44.034444,  G8II              ,,,
          ,6.22,90.07375,-12.899722,  F0                ,,,
 38    Aur,6.1,90.825,42.911667,  K0II              ,0.014,232.9685714,Aur
   Eta Col,3.96,89.786667,-42.815278,  K0III             ,0.019,171.6610526,Col
          ,6.34,91.284583,59.393056,  K1III-IV          ,,,
          ,6.24,90.729583,32.635833,  F4V               ,0.028,116.4842857,
          ,6.45,91.12125,51.573333,  A7III             ,,,
 61Mu  Ori,4.12,90.595833,9.6475,  A2V               ,0.028,116.4842857,Ori
   Kap Men,5.47,87.569583,-79.361389,  B9V               ,,,Men
          ,6.39,91.663333,63.453611,  K0                ,,,
          ,6.59,90.57125,1.694444,  B8V               ,,,
  3    Mon,4.95,90.46,-10.598056,  B5III             ,0.003,1087.186667,Mon
          ,6.05,90.304583,-25.417778,  A1V               ,,,
 64    Ori,5.14,90.86375,19.690556,  B8III             ,,,Ori
          ,5.55,90.318333,-33.911667,  K5III             ,,,
 39    Aur,5.87,91.264167,42.981667,  F3V               ,,,Aur
          ,6.08,90.852917,11.680833,  A0V s             ,,,
  1    Gem,4.16,91.03,23.263333,  G7III             ,0.031,105.2116129,Gem
 62Chi2Ori,4.63,90.98,20.138333,  B2Ia              ,0.025,130.4624,62Chi2Ori
          ,6.2,90.640833,-14.497222,  G5                ,,,
          ,6.34,91.260833,37.964167,  K0III+A2          ,,,
          ,5.67,90.205,-51.216389,  Am                ,,,
          ,6.23,91.391667,33.599167,  B9pSi             ,,,
          ,5.04,90.814583,-26.284444,  K3III             ,,,
          ,6.12,91.535417,35.3875,  G0V               ,0.046,70.90347826,
          ,5.21,91.05625,-6.709167,  B2Ven             ,,,
 40    Aur,5.36,91.64625,38.482778,  A4m               ,0.004,815.39,Aur
 63    Ori,5.67,91.2425,5.42, gG7                ,,,Ori
 66    Ori,5.63,91.243333,4.158611,  G4III             ,,,Ori
          ,6.08,91.59375,29.5125,  M3II+F7V          ,,,
          ,6.12,91.862083,41.854167,  K0III             ,,,
 17    Lep,4.93,91.24625,-16.484444,  A2eShell          ,0.032,101.92375,Lep
          ,5.65,91.084583,-32.1725,  B2.5V             ,,,
          ,5.87,91.3625,-10.242778, dF4                ,,,
          ,6.45,90.538333,-60.096944,  M4III             ,,,
 37    Cam,5.36,92.49625,58.935833,  G8III             ,0.011,296.5054545,Cam
          ,6.36,92.095833,41.055556,  G9III             ,,,
          ,5.38,91.66125,-4.193889,  B5IV              ,,,
 18The Lep,4.67,91.53875,-14.935278,  A1Vn              ,0.012,271.7966667,Lep
          ,6.95,91.440417,-24.195556,  M6III             ,,,
          ,6.35,91.118333,-45.036667,  G0IV-V            ,0.042,77.65619048,
          ,5.93,91.1675,-45.078889,  F4V               ,0.033,98.83515152,
 67Nu  Ori,4.42,91.892917,14.768333,  B3V               ,-0.032,,Ori
          ,5.8,91.362917,-35.513611,  A1V               ,,,
          ,6.66,91.71625,-11.173611,  B3V               ,,,
          ,6.58,91.195417,-48.458611,  G6V               ,0.019,171.6610526,
          ,5.47,91.633333,-23.110556,  Am                ,0.014,232.9685714,
          ,5.81,91.522917,-29.758611,  A1V               ,,,
 36    Cam,5.32,93.212917,65.718333,  K1.5IIIbCN-0.5    ,0.004,815.39,Cam
          ,5.78,91.74,-21.812778,  M4III             ,,,
          ,6.55,92.196667,8.67,  B9V               ,,,
 19    Lep,5.31,91.923333,-19.165833,  M2III             ,,,Lep
          ,5.93,92.385,22.19,  K4I               ,,,
          ,5.83,91.765417,-34.311944,  B4IVe             ,,,
   Pi 1Col,6.12,91.670833,-42.298611,  Am                ,,,1Col
          ,6.3,92.941667,52.647222,  A5IIIm            ,,,
  3    Gem,5.75,92.433333,23.113333,  B2.5Ib            ,,,Gem
          ,5.73,92.24125,2.499444,  A3Vn              ,,,
 41    Aur,6.82,92.902083,48.713056,  A8V               ,0.01,326.156,Aur
 41    Aur,6.09,92.9025,48.711111,  A3V               ,0.01,326.156,Aur
   The Col,5.02,91.881667,-37.253056,  B9IV              ,,,Col
          ,6.51,91.757917,-45.091389,  K1III             ,,,
          ,6.17,92.400833,-5.711111,  F3IV w            ,,,
          ,5.5,92.24125,-22.4275,  A0IV              ,0.012,271.7966667,
   Pi 2Col,5.5,91.970417,-42.153889,  A0V               ,0.016,203.8475,2Col
          ,6.35,92.334583,-18.126111,  B9Vn              ,,,
          ,5.56,92.392917,-14.584167,  K2III             ,,,
          ,6.33,92.7575,18.129444,  K1II              ,,,
  5    Gem,5.8,92.884583,24.420278,  K0III             ,,,Gem
          ,5.71,92.449583,-22.774167,  F6V               ,0.019,171.6610526,
          ,6.27,92.144167,-44.356111,  B8II              ,,,
          ,6.04,93.43875,51.1725,  K1III             ,,,
          ,5.78,93.08375,32.693333,  M2IIIa            ,,,
          ,6.56,92.964167,21.868611,  M0-1Iab           ,,,
          ,6.04,92.86625,13.638611,  A0Vnn             ,,,
          ,6.27,92.446667,-26.700833,  G8-K0III          ,,,
 68    Ori,5.75,93.005417,19.790556,  B9.5V             ,,,Ori
   Eta1Dor,5.71,91.539167,-66.039722,  A0V               ,,,Eta1Dor
          ,6.15,92.755417,-6.754167,  A0pSrCr           ,,,
          ,5.05,91.764167,-62.154722,  K2-3III           ,0.013,250.8892308,
  6    Gem,6.39,93.079583,22.908333,  M1-2Ia-Iab        ,0.003,1087.186667,Gem
 69    Ori,4.95,93.01375,16.130556,  B5Vn              ,,,Ori
 70Xi  Ori,4.48,92.985,14.208889,  B3IV              ,-0.001,,Ori
          ,5.72,92.644167,-27.154167,  K1III             ,,,
 40    Cam,5.35,93.919167,59.999167,  K3III             ,,,Cam
          ,6.18,92.932083,-4.665556,  B9pHgMn           ,,,
          ,5.58,92.542917,-40.353611,  M2II-III          ,,,
          ,6.49,92.347083,-49.562778,  F7V               ,,,
          ,5.05,92.965833,-6.550278,  B2V               ,,,
          ,6.09,92.80625,-26.482222,  A0V               ,,,
          ,6.58,93.389167,18.680278,  B8Vnn             ,,,
          ,6.45,93.3025,10.6275,  G2V               ,0.055,59.30109091,
          ,4.8,94.711667,69.319722,  A0Vn              ,0.008,407.695,
          ,6.62,93.185,-2.504444,  A2V               ,,,
          ,6.31,92.66625,-45.281944,  A0V               ,,,
   Del Pic,4.81,92.574583,-54.968611,  B3III+O9V         ,,,Pic
          ,6.52,93.192917,-17.763056,  B3III             ,,,
          ,5.88,93.619167,17.906389,  A5Vm              ,,,
  1    Lyn,4.98,94.478333,61.515278,  M3IIIab           ,0.006,543.5933333,Lyn
  7Eta Gem,3.28,93.719167,22.506667,  M3III             ,0.014,232.9685714,Gem
          ,6.92,93.9125,36.148611,  F4IV              ,,,
          ,5.83,93.47625,-3.741389,  G8III             ,,,
 44Kap Aur,4.35,93.844583,29.498056,  G8.5IIIb          ,0.018,181.1977778,Aur
 71    Ori,5.2,93.712083,19.156389,  F6V               ,0.041,79.5502439,Ori
   Nu  Dor,5.06,92.184167,-68.843333,  B8V               ,,,Dor
          ,5.91,93.785417,13.851111,  B1V               ,,,
 72    Ori,5.3,93.854583,16.143056,  B7V               ,,,Ori
          ,5.83,93.652917,-4.568333,  B5V               ,,,
          ,6.39,93.437917,-23.861944,  G5                ,,,
          ,6.54,93.38875,-29.396111,  B7V               ,,,
  5Gam Mon,3.98,93.71375,-6.274722,  K1.5IIIBa0.3      ,0.013,250.8892308,Mon
 42    Aur,6.52,94.394583,46.424167,  F0V               ,,,Aur
 73    Ori,5.33,93.9375,12.551111,  B9II-III          ,,,Ori
  8    Gem,6.08,94.079167,23.97,  G8III             ,,,Gem
          ,6.07,93.917083,6.066111,  B6Ve              ,,,
          ,6.64,93.945833,4.283611,  B3IV              ,,,
          ,5.65,93.892917,-0.512222,  F6V               ,0.036,90.59888889,
          ,5.99,93.87375,-4.915278,  A5IV s            ,,,
          ,6.39,94.099167,17.181389,  K5II              ,,,
          ,6.37,93.975,1.169167,  F5IV:             ,,,
          ,6.1,93.858333,-9.035278,  B9III             ,-0.003,,
  2    Lyn,4.48,94.905833,59.010833,  A2V s             ,0.035,93.18742857,Lyn
 43    Aur,6.38,94.570417,46.360556,  K2III             ,,,Aur
  9    Gem,6.25,94.244583,23.740833,  B3Ib              ,,,Gem
 74    Ori,5.04,94.110833,12.272222,  F5IV-V            ,0.041,79.5502439,Ori
          ,5.91,93.785,-20.272222,  K0                ,,,
          ,5.99,93.822917,-18.476667,  K0                ,,,
          ,5.01,93.937083,-13.718333,  B9Vn              ,,,
   Eta2Dor,5.01,92.8125,-65.589444,  M2.5III           ,0.009,362.3955556,Eta2Dor
          ,6.63,94.088333,1.080278,  B6V               ,,,
 75    Ori,5.39,94.2775,9.9425,  A2V               ,0.013,250.8892308,Ori
          ,6.57,94.243333,7.053056,  B7III             ,,,
          ,5.92,94.032083,-16.617778,  B2.5Vn            ,,,
          ,6.59,94.38875,14.058333,  A0V               ,,,
          ,5.71,94.317083,5.100278,  F9V               ,0.05,65.2312,
          ,6.67,93.988333,-29.788333,  K4III             ,,,
          ,6.16,94.523333,14.382778,  A3V               ,,,
          ,6.07,94.264583,-22.715,  G0V               ,0.018,181.1977778,
  6    Mon,6.75,94.396667,-10.725278,  F0Del Del         ,,,Mon
   Kap Col,4.37,94.137917,-35.140556,  K0.5IIIa          ,0.025,130.4624,Col
  4    Lyn,5.94,95.515,59.372222,  A3V               ,0.005,652.312,Lyn
          ,6.32,94.7575,17.325,  B9IIIpSiCr:       ,,,
          ,6.24,94.66875,9.047222,  K0                ,,,
          ,5.14,94.42375,-16.815833,  K3III             ,0.017,191.8564706,
   Alp Men,5.09,92.56,-74.753056,  G6V               ,0.115,28.3613913,Men
          ,6,94.148333,-39.264444,  A2Vm:             ,,,
          ,5.53,94.255,-37.7375,  K1III             ,,,
 45    Aur,5.36,95.442083,53.452222,  F5III             ,0.022,148.2527273,Aur
          ,5.87,94.289583,-37.253056,  A3V               ,,,
          ,5.52,94.557083,-19.966944,  B2V               ,,,
          ,5.36,94.710833,-9.390278,  K1.5III           ,,,
          ,6.06,94.703333,-15.024722,  M0III             ,,,
          ,5.69,95.0175,14.651111,  K3Ib              ,,,
          ,6.22,94.782917,-8.586389,  B9V               ,,,
          ,5.81,94.745833,-20.926111,  B4IV              ,,,
          ,6.43,95.300417,29.541111,  A1V s             ,,,
  7    Mon,5.27,94.928333,-7.823056,  B2.5V             ,,,Mon
          ,6.43,94.077083,-59.213611,  G0V               ,0.043,75.85023256,
          ,4.9,94.998333,-2.944444,  M1III             ,-0.001,,
          ,6.54,95.217917,11.756389,  B5III             ,,,
          ,6.35,95.357917,17.763611,g:G9                ,,,
          ,6.41,94.465417,-52.733056,  K2-3III           ,,,
          ,5.78,94.920833,-34.396667,  B9V               ,,,
          ,6.31,95.3575,2.268611,  A4.5V             ,0.012,271.7966667,
          ,7.04,94.695,-50.359167,  G2Ib              ,,,
  1Zet CMa,3.02,95.078333,-30.063333,  B2.5V             ,0.004,815.39,CMa
          ,6.64,93.774583,-71.702778,  F8V               ,,,
          ,5.64,95.352917,-11.773333,  B1Vpe             ,,,
          ,5.97,97.060833,70.535556,  A4V               ,,,
 13Mu  Gem,2.88,95.74,22.513611,  M3IIIab           ,0.02,163.078,Gem
          ,6,95.652083,12.57,  F0III             ,,,
